# y, tke, epsilon, grad_u_11, grad_u_12, grad_u_13, grad_u_21, grad_u_22, grad_u_23, grad_u_31, grad_u_32, grad_u_33, uu_11, uu_12, uu_13, uu_21, uu_22, uu_23, uu_31, uu_32, uu_33
-1.000000000000000000e+00 1.562908674787087466e-38 3.117655217647552490e-02 0.000000000000000000e+00 4.994738388061523438e+01 0.000000000000000000e+00 0.000000000000000000e+00 -1.618708056483342261e-09 0.000000000000000000e+00 1.424813596802475103e-20 -1.010663062334060669e-02 3.788197369161046413e-20 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.125817349574174933e-38
-9.999834895133972168e-01 8.506749793468770804e-08 3.117655217647552490e-02 0.000000000000000000e+00 4.994738388061523438e+01 0.000000000000000000e+00 0.000000000000000000e+00 -1.618708056483342261e-09 0.000000000000000000e+00 1.424813596802475103e-20 -1.010663062334060669e-02 3.788197369161046413e-20 1.193491385720335529e-07 -1.173305549939662740e-11 8.819237007351432567e-10 -1.173305549939662740e-11 2.991560111068568284e-14 -3.696632843580571759e-13 8.819237007351432567e-10 -3.696632843580571759e-13 5.078582532291875395e-08
-9.999449849128723145e-01 9.388336366100702435e-07 3.087773360311985016e-02 -9.522027539787814021e-05 4.994478225708007812e+01 -8.032698679016903043e-05 -6.120179563140482060e-08 3.613808657974004745e-04 1.236644493474159390e-06 5.625336780212819576e-05 -1.107796840369701385e-02 -1.959150831680744886e-04 1.320499450230272487e-06 -4.339299197742008118e-10 9.731547123692507739e-09 -4.339299197742008118e-10 3.624186020734221358e-12 -1.363107890450798720e-11 9.731547123692507739e-09 -1.363107890450798720e-11 5.571642418544797692e-07
-9.998791217803955078e-01 4.505611286731436849e-06 3.054098971188068390e-02 -2.006652357522398233e-04 4.994163894653320312e+01 -1.836771843954920769e-04 -3.076100085763755487e-07 7.831372786313295364e-04 5.938630692980950698e-06 1.174824938061647117e-04 -1.228119898587465286e-02 -4.331549571361392736e-04 6.364386990753700957e-06 -4.629184147120213311e-09 4.666712527523486642e-08 -4.629184147120213311e-09 8.269393503290700664e-11 -1.444599023736614640e-10 4.666712527523486642e-08 -1.444599023736614640e-10 2.646753046064986847e-06
-9.997805356979370117e-01 1.473685006203595549e-05 3.054098971188068390e-02 -2.006652357522398233e-04 4.994163894653320312e+01 -1.836771843954920769e-04 -3.076100085763755487e-07 7.831372786313295364e-04 5.938630692980950698e-06 1.174824938061647117e-04 -1.228119898587465286e-02 -4.331549571361392736e-04 2.094792580464854836e-05 -2.797069065252344444e-08 1.522801227338277386e-07 -2.797069065252344444e-08 8.720403843476276506e-10 -8.613723623263069840e-10 1.522801227338277386e-07 -8.613723623263069840e-10 8.524903932993765920e-06
-9.996436834335327148e-01 3.840740828309208155e-05 2.949459105730056763e-02 -5.077221430838108063e-04 4.992877578735351562e+01 -6.150398403406143188e-04 -2.983357717312173918e-06 2.200421178713440895e-03 5.063810385763645172e-05 2.876745420508086681e-04 -1.690709404647350311e-02 -1.301225507631897926e-03 5.506297020474448800e-05 -1.210548106200803886e-07 3.946571212054550415e-07 -1.210548106200803886e-07 5.802844871283241446e-09 -3.638480849943448447e-09 3.946571212054550415e-07 -3.638480849943448447e-09 2.174604378524236381e-05
-9.994632601737976074e-01 8.594129758421331644e-05 2.882877178490161896e-02 -6.771851913072168827e-04 4.991506195068359375e+01 -1.006701728329062462e-03 -7.171975539677077904e-06 3.198094433173537254e-03 1.131191456806845963e-04 3.746904258150607347e-04 -2.069813385605812073e-02 -1.981200883165001869e-03 1.245619350811466575e-04 -4.196645875254034763e-07 8.730589797778520733e-07 -4.196645875254034763e-07 2.825329659117414849e-08 -1.210779654314819709e-08 8.730589797778520733e-07 -1.210779654314819709e-08 4.729240390588529408e-05
-9.992337822914123535e-01 1.721846056170761585e-04 2.811022289097309113e-02 -8.226025383919477463e-04 4.988909530639648438e+01 -1.572899869643151760e-03 -1.537136085971724242e-05 4.367040935903787613e-03 2.257350424770265818e-04 4.443379875738173723e-04 -2.569171413779258728e-02 -2.854295540601015091e-03 2.528997138142585754e-04 -1.240150481862656306e-06 1.713076358100806829e-06 -1.240150481862656306e-06 1.093290151743531169e-07 -3.356300837253911595e-08 1.713076358100806829e-06 -3.356300837253911595e-08 9.136016888078302145e-05
-9.989664554595947266e-01 3.074873820878565311e-04 2.811022289097309113e-02 -8.226025383919477463e-04 4.988909530639648438e+01 -1.572899869643151760e-03 -1.537136085971724242e-05 4.367040935903787613e-03 2.257350424770265818e-04 4.443379875738173723e-04 -2.569171413779258728e-02 -2.854295540601015091e-03 4.582817491609603167e-04 -3.090555765083990991e-06 2.960575557153788395e-06 -3.090555765083990991e-06 3.337843850204080809e-07 -7.660683820631675189e-08 2.960575557153788395e-06 -7.660683820631675189e-08 1.563592522870749235e-04
-9.986612200736999512e-01 5.054071662016212940e-04 2.740307524800300598e-02 -9.092472027987241745e-04 4.984123229980468750e+01 -2.315313322469592094e-03 -2.896459773182868958e-05 5.601703189313411713e-03 4.005222290288656950e-04 4.860109766013920307e-04 -3.161217272281646729e-02 -3.869318403303623199e-03 7.650568732060492039e-04 -6.803855285397730768e-06 4.638465270545566455e-06 -6.803855285397730768e-06 8.578039114581770264e-07 -1.504690771980676800e-07 4.638465270545566455e-06 -1.504690771980676800e-07 2.448996528983116150e-04
