# y, tke, epsilon, grad_u_11, grad_u_12, grad_u_13, grad_u_21, grad_u_22, grad_u_23, grad_u_31, grad_u_32, grad_u_33, uu_11, uu_12, uu_13, uu_21, uu_22, uu_23, uu_31, uu_32, uu_33
-9.960347414016723633e-01 3.618832677602767944e-03 2.125816233456134796e-02 2.213080180808901787e-03 4.658219909667968750e+01 -1.562894694507122040e-02 1.273277739528566599e-04 9.847246110439300537e-03 3.120225854218006134e-03 -1.264991937205195427e-03 -9.564773738384246826e-02 -1.092498749494552612e-02 5.953299347311258316e-03 -1.593815832166001201e-04 1.925675860547926277e-06 -1.593815832166001201e-04 3.240336081944406033e-05 1.480170226386690047e-06 1.925675860547926277e-06 1.480170226386690047e-06 1.251962617971003056e-03
-9.954646825790405273e-01 4.474446177482604980e-03 2.125816233456134796e-02 2.213080180808901787e-03 4.658219909667968750e+01 -1.562894694507122040e-02 1.273277739528566599e-04 9.847246110439300537e-03 3.120225854218006134e-03 -1.264991937205195427e-03 -9.564773738384246826e-02 -1.092498749494552612e-02 7.427947130054235458e-03 -2.249664248665794730e-04 1.311179630647529848e-06 -2.249664248665794730e-04 4.807094228453934193e-05 2.137253204637090676e-06 1.311179630647529848e-06 2.137253204637090676e-06 1.472873962484300137e-03
-9.948568344116210938e-01 5.388239398598670959e-03 2.023293823003768921e-02 2.812548074871301651e-03 4.523918533325195312e+01 -1.673116534948348999e-02 1.589444873388856649e-04 9.843294508755207062e-03 3.928802907466888428e-03 -1.140322186984121799e-03 -9.788013994693756104e-02 -1.163702365010976791e-02 9.008063003420829773e-03 -3.051432140637189150e-04 2.987029290579812368e-07 -3.051432140637189150e-04 6.860132270958274603e-05 2.900402023442438804e-06 2.987029290579812368e-07 2.900402023442438804e-06 1.699814456515014172e-03
-9.942112565040588379e-01 6.330746226012706757e-03 1.859564520418643951e-02 3.997826483100652695e-03 4.167921447753906250e+01 -1.787391118705272675e-02 1.911594008561223745e-04 8.966885507106781006e-03 5.759116262197494507e-03 -5.176330450922250748e-04 -1.002960354089736938e-01 -1.256536971777677536e-02 1.063705421984195709e-02 -3.991664561908692122e-04 -1.185511678158945870e-06 -3.991664561908692122e-04 9.462925663683563471e-05 3.710928467626217753e-06 -1.185511678158945870e-06 3.710928467626217753e-06 1.929809222929179668e-03
-9.935279488563537598e-01 7.270248606801033020e-03 1.806243509054183960e-02 4.504948854446411133e-03 3.950881576538085938e+01 -1.805444993078708649e-02 1.586706202942878008e-04 8.212809450924396515e-03 6.696059368550777435e-03 6.340206891763955355e-05 -1.011319607496261597e-01 -1.277312170714139938e-02 1.225345022976398468e-02 -5.053090280853211880e-04 -3.224902684451080859e-06 -5.053090280853211880e-04 1.266858453163877130e-04 4.486309080675709993e-06 -3.224902684451080859e-06 4.486309080675709993e-06 2.160361269488930702e-03
-9.928070306777954102e-01 8.176271803677082062e-03 1.806243509054183960e-02 4.504948854446411133e-03 3.950881576538085938e+01 -1.805444993078708649e-02 1.586706202942878008e-04 8.212809450924396515e-03 6.696059368550777435e-03 6.340206891763955355e-05 -1.011319607496261597e-01 -1.277312170714139938e-02 1.379784289747476578e-02 -6.210544961504638195e-04 -5.920481271459721029e-06 -6.210544961504638195e-04 1.651805796427652240e-04 5.137789230502676219e-06 -5.920481271459721029e-06 5.137789230502676219e-06 2.389520406723022461e-03
-9.920483827590942383e-01 9.022610262036323547e-03 1.771023310720920563e-02 4.875293467193841934e-03 3.713911819458007812e+01 -1.821542717516422272e-02 6.321735418168827891e-05 7.500262930989265442e-03 7.572595030069351196e-03 8.430615998804569244e-04 -1.020993068814277649e-01 -1.281655859202146530e-02 1.521896291524171829e-02 -7.433827267959713936e-04 -9.325075552624184638e-06 -7.433827267959713936e-04 2.103928709402680397e-04 5.604425496130716056e-06 -9.325075552624184638e-06 5.604425496130716056e-06 2.615865087136626244e-03
-9.912521243095397949e-01 9.789256379008293152e-03 1.749187521636486053e-02 5.041739437729120255e-03 3.463106155395507812e+01 -1.856178417801856995e-02 -1.153339544543996453e-04 7.071323227137327194e-03 8.329171687364578247e-03 1.771286246366798878e-03 -1.030337586998939514e-01 -1.268825866281986237e-02 1.647777110338211060e-02 -8.690935210324823856e-04 -1.334838816546835005e-05 -8.690935210324823856e-04 2.624699554871767759e-04 5.889788099011639133e-06 -1.334838816546835005e-05 5.889788099011639133e-06 2.838271670043468475e-03
-9.904182553291320801e-01 1.046302076429128647e-02 1.721484959125518799e-02 4.751520697027444839e-03 2.945788955688476562e+01 -2.013305760920047760e-02 -7.063547382131218910e-04 7.232532370835542679e-03 9.286962449550628662e-03 3.623860422521829605e-03 -1.023426577448844910e-01 -1.176668889820575714e-02 1.754904165863990784e-02 -9.951062966138124466e-04 -1.782777871994767338e-05 -9.951062966138124466e-04 3.214322205167263746e-04 6.074638804420828819e-06 -1.782777871994767338e-05 6.074638804420828819e-06 3.055567620322108269e-03
-9.895468354225158691e-01 1.103716064244508743e-02 1.705461554229259491e-02 4.513896536082029343e-03 2.691122245788574219e+01 -2.124423347413539886e-02 -1.039158785715699196e-03 7.292207330465316772e-03 9.404687210917472839e-03 4.281410947442054749e-03 -9.952992945909500122e-02 -1.089142169803380966e-02 1.842075958847999573e-02 -1.118662301450967789e-03 -2.276668237755075097e-05 -1.118662301450967789e-03 3.871862136293202639e-04 6.297846994129940867e-06 -2.276668237755075097e-05 6.297846994129940867e-06 3.266375046223402023e-03
