# y, tke, epsilon, grad_u_11, grad_u_12, grad_u_13, grad_u_21, grad_u_22, grad_u_23, grad_u_31, grad_u_32, grad_u_33, uu_11, uu_12, uu_13, uu_21, uu_22, uu_23, uu_31, uu_32, uu_33
-8.765430450439453125e-01 8.303959853947162628e-03 2.113763941451907158e-03 5.177891347557306290e-03 1.017322659492492676e+00 1.260614767670631409e-02 -1.088864076882600784e-02 -6.613614968955516815e-04 -2.681799931451678276e-03 6.992302834987640381e-03 -1.943393959663808346e-03 -5.403195042163133621e-03 9.244389832019805908e-03 -2.128363586962223053e-03 -8.435082236246671528e-06 -2.128363586962223053e-03 2.883719513192772865e-03 -1.181905918201664463e-05 -8.435082236246671528e-06 -1.181905918201664463e-05 4.478099290281534195e-03
-8.674990534782409668e-01 8.181801997125148773e-03 1.931195030920207500e-03 -7.027413084870204329e-05 9.614259600639343262e-01 8.970167487859725952e-03 -1.246608793735504150e-02 4.400833509862422943e-03 -3.850172040984034538e-03 5.770310293883085251e-03 -2.059824066236615181e-03 -4.609944764524698257e-03 9.100680239498615265e-03 -2.108503831550478935e-03 -1.418212195858359337e-05 -2.108503831550478935e-03 2.869812073186039925e-03 -1.552237335999961942e-05 -1.418212195858359337e-05 -1.552237335999961942e-05 4.393660929054021835e-03
-8.581589460372924805e-01 8.055414073169231415e-03 1.815754920244216919e-03 -2.350503345951437950e-03 9.054195284843444824e-01 1.329024415463209152e-02 -1.294218096882104874e-02 9.366220794618129730e-03 -3.942700568586587906e-03 -3.160579071845859289e-04 3.142105182632803917e-03 -6.451295223087072372e-03 8.958146907389163971e-03 -2.085807034745812416e-03 -5.616423550236504525e-06 -2.085807034745812416e-03 2.851011464372277260e-03 -1.727952803776133806e-05 -5.616423550236504525e-06 -1.727952803776133806e-05 4.301074426621198654e-03
-8.485258221626281738e-01 7.931963540613651276e-03 1.676658517681062222e-03 -1.469712588004767895e-03 8.466888070106506348e-01 1.157103478908538818e-02 -7.884835824370384216e-03 4.159780684858560562e-03 -7.427369710057973862e-03 1.295964117161929607e-03 2.012580865994095802e-03 -2.927046967670321465e-03 8.829079568386077881e-03 -2.064184285700321198e-03 1.012881875794846565e-05 -2.064184285700321198e-03 2.826521871611475945e-03 -1.015826728689717129e-05 1.012881875794846565e-05 -1.015826728689717129e-05 4.208145197480916977e-03
-8.386030793190002441e-01 7.812095806002616882e-03 1.563689089380204678e-03 -3.467328206170350313e-04 8.002465367317199707e-01 6.950650829821825027e-03 -1.258518430404365063e-03 -8.165887556970119476e-04 -8.062805980443954468e-03 2.978584961965680122e-03 6.113790441304445267e-03 1.220442005433142185e-03 8.687022142112255096e-03 -2.046116860583424568e-03 1.952425736817531288e-05 -2.046116860583424568e-03 2.805704250931739807e-03 -4.625742803909815848e-06 1.952425736817531288e-05 -4.625742803909815848e-06 4.131573718041181564e-03
-8.283941149711608887e-01 7.691778242588043213e-03 1.481953077018260956e-03 -1.908691017888486385e-03 7.687129974365234375e-01 7.303575519472360611e-03 2.468629507347941399e-03 -2.433159155771136284e-03 -6.493690889328718185e-03 2.569570206105709076e-03 -1.328188343904912472e-03 4.289604257792234421e-03 8.531715720891952515e-03 -2.028197282925248146e-03 2.456952643115073442e-05 -2.028197282925248146e-03 2.787275938317179680e-03 -1.046468423737678677e-05 2.456952643115073442e-05 -1.046468423737678677e-05 4.063593689352273941e-03
-8.179023265838623047e-01 7.576319854706525803e-03 1.381781068630516529e-03 -2.524398267269134521e-03 7.401812672615051270e-01 5.393888801336288452e-03 4.181763622909784317e-03 -5.884082522243261337e-03 -3.972693346440792084e-03 -1.668471726588904858e-03 -3.544004401192069054e-03 7.117702160030603409e-03 8.405202999711036682e-03 -2.010823227465152740e-03 2.707205021579284221e-05 -2.010823227465152740e-03 2.765123033896088600e-03 -1.037232595990644768e-05 2.707205021579284221e-05 -1.037232595990644768e-05 3.982719033956527710e-03
-8.071312904357910156e-01 7.458098698407411575e-03 1.294693560339510441e-03 -4.635695368051528931e-03 7.086070179939270020e-01 5.217564757913351059e-03 5.322040989995002747e-03 -6.098960060626268387e-03 -4.577123094350099564e-03 -6.485171616077423096e-03 2.661832608282566071e-03 1.054638996720314026e-02 8.274104446172714233e-03 -1.983401831239461899e-03 2.239150671812240034e-05 -1.983401831239461899e-03 2.738910494372248650e-03 -9.784981557459104806e-06 2.239150671812240034e-05 -9.784981557459104806e-06 3.903901204466819763e-03
-7.960848212242126465e-01 7.336288224905729294e-03 1.228846260346472263e-03 -6.306480616331100464e-03 6.773337721824645996e-01 9.960046969354152679e-03 6.589955184608697891e-03 -7.546740118414163589e-03 -5.972625222057104111e-03 -7.994177751243114471e-03 8.700127713382244110e-03 1.479381322860717773e-02 8.129433728754520416e-03 -1.957823522388935089e-03 1.768176480254624039e-05 -1.957823522388935089e-03 2.703586826100945473e-03 -1.329010228801053017e-05 1.768176480254624039e-05 -1.329010228801053017e-05 3.839180804789066315e-03
-7.847665548324584961e-01 7.215837482362985611e-03 1.155135571025311947e-03 -6.060112267732620239e-03 6.467743515968322754e-01 1.609026268124580383e-02 9.295036084949970245e-03 -6.291760597378015518e-03 -3.652840619906783104e-03 -6.082037463784217834e-03 5.189834162592887878e-03 1.265441998839378357e-02 7.986091077327728271e-03 -1.924047362990677357e-03 2.610517367429565638e-05 -1.924047362990677357e-03 2.666687592864036560e-03 -1.562554461997933686e-05 2.610517367429565638e-05 -1.562554461997933686e-05 3.778752172365784645e-03
-7.731803655624389648e-01 7.099375128746032715e-03 1.078152912668883801e-03 -5.390528589487075806e-03 6.172265410423278809e-01 1.660225912928581238e-02 1.094780024141073227e-02 -5.917002563364803791e-04 -3.457664744928479195e-03 -7.167702075093984604e-03 5.809969734400510788e-03 6.613498553633689880e-03 7.848431356251239777e-03 -1.896224333904683590e-03 3.580355769372545183e-05 -1.896224333904683590e-03 2.633441705256700516e-03 -9.870132998912595212e-06 3.580355769372545183e-05 -9.870132998912595212e-06 3.716662758961319923e-03
-7.613302469253540039e-01 6.988195236772298813e-03 1.015075831674039364e-03 -2.052520401775836945e-03 5.861040949821472168e-01 1.427204161882400513e-02 8.284809999167919159e-03 -2.220458583906292915e-03 -6.443353835493326187e-03 -9.045911021530628204e-03 1.494387746788561344e-03 4.534034989774227142e-03 7.724763359874486923e-03 -1.865740865468978882e-03 3.556703086360357702e-05 -1.865740865468978882e-03 2.594941295683383942e-03 -3.753281134777353145e-06 3.556703086360357702e-05 -3.753281134777353145e-06 3.657513763755559921e-03
-7.492202520370483398e-01 6.871712859719991684e-03 9.699263027869164944e-04 -5.894184578210115433e-04 5.627513527870178223e-01 1.726919598877429962e-02 5.921417381614446640e-03 -2.740332856774330139e-03 -7.848379202187061310e-03 -9.206029586493968964e-03 4.766326397657394409e-03 2.781857037916779518e-03 7.597168907523155212e-03 -1.828136155381798744e-03 1.830771543609444052e-05 -1.828136155381798744e-03 2.556216437369585037e-03 -5.814455903419002425e-07 1.830771543609444052e-05 -5.814455903419002425e-07 3.589887637645006180e-03
-7.368545532226562500e-01 6.757381837815046310e-03 9.121489711105823517e-04 -2.038028324022889137e-03 5.408467650413513184e-01 2.130969800055027008e-02 6.616769358515739441e-03 -3.383104922249913216e-04 -6.483325269073247910e-03 -4.356582183390855789e-03 1.442367117851972580e-02 1.945142634212970734e-03 7.478762883692979813e-03 -1.789721194654703140e-03 -1.363489104733162094e-06 -1.789721194654703140e-03 2.524333307519555092e-03 9.129139471042435616e-06 -1.363489104733162094e-06 9.129139471042435616e-06 3.512200200930237770e-03
